Year,carrier_lg,total_passengers,year_total,market_share
2006,UA,331636,2710823,12.233775499174975
2006,US,141410,2710823,5.216496982650656
2006,WN,696390,2710823,25.68924640229185
2006,YX,29517,2710823,1.0888575167024923
2006,ZV,0,2710823,0.0
2007,AA,446580,2657243,16.806140800822504
2007,AQ,238,2657243,0.0089566516874821
2007,AS,57406,2657243,2.160359440216796
2007,B6,199291,2657243,7.499916266596619
2007,CO,277584,2657243,10.446315974865678
2007,DL,225226,2657243,8.475927869600183
2007,F9,14381,2657243,0.5412000332675634
2007,FL,60046,2657243,2.259710534565337
2007,G4,747,2657243,0.028111843741803064
2007,HP,5783,2657243,0.21763158280970163
2007,NK,21697,2657243,0.8165229901819292
2007,NW,129460,2657243,4.87196692210686
2007,SX,1176,2657243,0.04425639657344097
2007,SY,332,2657243,0.012494152774134695
2007,TZ,10780,2657243,0.4056836352565423
2007,U5,3701,2657243,0.139279697039375
2007,UA,316472,2657243,11.909787701011913
2007,US,170639,2657243,6.421655828992681
2007,WN,688319,2657243,25.903502238974756
2007,YX,27385,2657243,1.0305794389146947
2008,AA,425631,2631007,16.177494016549556
2008,AS,74787,2631007,2.8425237941214143
2008,B6,188410,2631007,7.161136401385478
2008,CO,255891,2631007,9.725971842720297
2008,DL,222946,2631007,8.473789693451975
2008,F9,8161,2631007,0.31018541569824787
2008,FL,62851,2631007,2.3888571942225925
2008,G4,1219,2631007,0.04633206981205295
2008,NK,19874,2631007,0.7553761734575393
2008,NW,130822,2631007,4.97231668330795
2008,SY,281,2631007,0.010680321261022871
2008,TZ,445,2631007,0.016913676018345827
2008,U5,5686,2631007,0.21611497042767275
2008,UA,230956,2631007,8.7782358617822
2008,US,197778,2631007,7.517197787767193
2008,VX,18485,2631007,0.7025826993238711
2008,WN,760726,2631007,28.91387214097112
2008,YX,26058,2631007,0.9904192577214732
2009,9K,0,2503994,0.0
2009,AA,389140,2503994,15.540772062552865
2009,AS,62062,2503994,2.478520315943249
2009,B6,180310,2503994,7.20089584879197
2009,CO,254518,2503994,10.164481224795267
2009,DL,212469,2503994,8.485204038028845
2009,F9,10701,2503994,0.4273572540509282
2009,FL,62233,2503994,2.485349405789311
2009,G4,2360,2503994,0.09424942711524069
2009,NK,26648,2503994,1.064219802443616
2009,NW,116646,2503994,4.658397743764562
2009,SY,766,2503994,0.03059112761452304
2009,U5,902,2503994,0.03602245053302843
2009,UA,220545,2503994,8.807728772513034
2009,US,180245,2503994,7.198299995926508
2009,VX,15667,2503994,0.6256804129722355
2009,WN,751206,2503994,30.000311502343855
2009,YX,17576,2503994,0.701918614820962
2009,YY,0,2503994,0.0
2010,9K,0,2519171,0.0
2010,AA,397068,2519171,15.761851815537732
2010,AS,66119,2519171,2.6246332622914443
2010,B6,184547,2519171,7.325703574707712
2010,CO,234420,2519171,9.305442147436597
2010,DL,346521,2519171,13.755358409572038
2010,F9,15424,2519171,0.6122649077811708
2010,FL,70613,2519171,2.803025280935673
2010,G4,5358,2519171,0.21268901555313238
2010,NK,19865,2519171,0.7885530597168672
2010,NW,0,2519171,0.0
2010,SY,461,2519171,0.018299670804403513
2010,U5,291,2519171,0.011551419097790503
2010,UA,198559,2519171,7.88191829772572
2010,US,189745,2519171,7.532041294536973
2010,VX,21480,2519171,0.8526614509296907
2010,WN,758941,2519171,30.126617049815195
2010,YX,9759,2519171,0.3873893435578609
2010,YY,0,2519171,0.0
2011,9K,0,2535719,0.0
2011,AA,412453,2535719,16.265721872179054
2011,AS,72554,2535719,2.8612791874809473
2011,B6,193648,2535719,7.6368083372014
2011,CO,226275,2535719,8.923504536583115
2011,DL,364184,2535719,14.362159214013856
2011,F9,21741,2535719,0.8573899552750128
2011,FL,60941,2535719,2.403302574141693
2011,G4,6961,2535719,0.27451779948803473
2011,NK,28404,2535719,1.1201556639359487
2011,SY,1429,2535719,0.05635482480511445
2011,UA,161377,2535719,6.364151548337967
2011,US,188742,2535719,7.443332640564668
2011,VX,31639,2535719,1.2477328915388495
2011,WN,765371,2535719,30.183588954454336
2011,YY,0,2535719,0.0
2012,9K,0,2542516,0.0
2012,AA,406271,2542516,15.979093150249597
2012,AS,64033,2542516,2.518489559161083
2012,B6,197190,2542516,7.755703405602954
2012,DL,365488,2542516,14.37505211373301
2012,F9,17454,2542516,0.6864853554510572
2012,FL,49322,2542516,1.9398894638224498
2012,G4,6597,2542516,0.2594673937155164
2012,NK,14707,2542516,0.578442770861619
2012,SY,1589,2542516,0.06249714849385413
2012,UA,419314,2542516,16.492088938673348
2012,US,198466,2542516,7.8058899137704545
2012,VX,55108,2542516,2.1674593198233563
2012,WN,746977,2542516,29.379441466641705
2013,9K,1,2605325,3.838292727394854e-05
2013,AA,388035,2605325,14.893919184746624
2013,AS,74221,2605325,2.848819245199735
2013,B6,200437,2605325,7.693358794008424
2013,DL,393735,2605325,15.11270187020813
2013,F9,15628,2605325,0.5998483874372679
2013,FL,30216,2605325,1.1597785305096293
2013,G4,4621,2605325,0.17736750693291622
2013,NK,19863,2605325,0.76240008444244
2013,SY,1736,2605325,0.06663276174757468
2013,UA,450785,2605325,17.302447871186896
2013,US,216142,2605325,8.296162666845786
2013,VX,43823,2605325,1.6820550219262473
2013,WN,766082,2605325,29.40446969188105
2014,9K,1,2680103,3.7311998829895715e-05
2014,AA,373828,2680103,13.948269898582256
2014,AS,90859,2680103,3.3901309016854952
2014,B6,199917,2680103,7.459302870076262
2014,DL,409732,2680103,15.287919904570831
2014,F9,17730,2680103,0.661541739254051
2014,FL,4823,2680103,0.17995577035658705
2014,G4,9706,2680103,0.3621502606429678
2014,KS,0,2680103,0.0
2014,NK,24524,2680103,0.9150394593043626
2014,SY,2014,2680103,0.07514636564340997
2014,UA,472221,2680103,17.619509399452184
2014,US,228640,2680103,8.531015412467356
2014,VX,44446,2680103,1.6583690999935448
2014,WN,801662,2680103,29.91161160597186
2015,9K,1,2845536,3.5142763964328685e-05
2015,AA,523966,2845536,18.413613463333444
2015,AS,103226,2845536,3.627646952981793
2015,B6,226876,2845536,7.973049717171035
2015,DL,438563,2845536,15.412315992487882
2015,F9,29713,2845536,1.0441969456720983
2015,G4,12503,2845536,0.4393899778460016
2015,NK,16121,2845536,0.5665364978689428
2015,SY,2218,2845536,0.07794665047288103
2015,UA,457735,2845536,16.08607306321199
2015,US,105136,2845536,3.6947696321536614
2015,VX,52937,2845536,1.860352495979668
2015,WN,876541,2845536,30.804073468056632
2016,9K,0,2977255,0.0
2016,AA,713372,2977255,23.96072892647758
2016,AS,116934,2977255,3.9275775840497373
2016,B6,192476,2977255,6.46488124127762
2016,DL,465440,2977255,15.633192319771064
2016,F9,17204,2977255,0.5778477154291453
2016,G4,16113,2977255,0.5412032224314007
2016,NK,14287,2977255,0.4798715595405835
2016,SY,2466,2977255,0.08282797409022741
2016,UA,486471,2977255,16.339581258575432
2016,VX,44480,2977255,1.4939936283590087
