airport_1,airport_2,total_passengers,avg_fare,avg_distance,avg_fare_per_mile,avg_fare_gap
CVG,ONT,3694,324.87254237288136,1900.0,0.17098554861730597,74.73177966101696
CVG,PHX,13951,238.75612244897957,1569.0,0.15217088747544907,63.41775510204082
CVG,PIE,7764,96.22209302325582,776.0,0.12399754255574202,0.0
CVG,RSW,1066,165.02428571428572,879.0,0.18774093937916464,39.82142857142857
CVG,SEA,327,283.13,1964.0,0.14415987780040734,189.26
CVG,SFO,30882,314.124406779661,2036.0,0.1542850720921714,96.9514406779661
CVG,SJC,3982,337.0907627118644,2036.0,0.1655652076187939,71.19694915254237
CVG,SNA,7256,327.8507627118644,1900.0,0.17255303300624442,60.56457627118644
CVG,SWF,951,261.24924528301887,625.7264150943396,0.4176125743451923,39.40915094339623
CVG,TPA,35564,182.01415254237287,774.0932203389831,0.2351257646287342,53.987966101694916
CVG,TSS,0,462.45,626.0,0.738738019169329,0.0
CVG,WAS,27,193.48444444444442,430.0,0.4499638242894057,22.09444444444445
DAB,BWI,287,149.50799999999998,733.0,0.20396725784447475,1.5700000000000045
DAB,DCA,216,186.436,733.0,0.25434652114597545,43.806000000000004
DAB,EWR,8851,160.78142857142856,933.3809523809524,0.17226545882101438,3.7807936507936497
DAB,HPN,237,176.27603448275863,933.2413793103449,0.18896665095853737,10.847931034482757
DAB,IAD,127,171.302,733.0,0.23369986357435196,21.356
DAB,ISP,536,175.55724137931034,933.5344827586207,0.18809023978800854,2.4955172413793094
DAB,JFK,2880,154.64301587301588,933.3809523809524,0.165729064689849,2.709841269841269
DAB,LGA,3043,167.03619047619048,933.3809523809524,0.1789985066978531,9.551746031746031
DAB,NYC,35,256.01142857142855,935.0,0.27380901451489686,14.399999999999997
DAB,SWF,445,183.57625000000002,935.0,0.19633823529411765,4.83125
DAB,WAS,7,222.93666666666664,733.0,0.30414279217826284,0.0
DAL,BDL,1747,267.1857575757576,1471.0,0.18163545722349259,22.683737373737376
DAL,BNA,25240,188.87628318584072,631.0,0.2993284995021247,10.711769911504426
DAL,BUR,4835,236.4590740740741,1246.0,0.18977453778015577,4.012037037037037
DAL,BWI,29073,206.22805555555556,1217.0,0.1694560850908427,28.716481481481484
DAL,DAY,186,204.7095238095238,861.0,0.23775786737459212,18.746031746031747
DAL,DCA,25645,202.87514563106797,1217.0,0.16670102352593916,18.599417475728156
DAL,DEN,43590,175.0898076923077,651.0,0.26895515774548034,2.0998076923076923
DAL,DSM,530,198.89755555555556,624.0,0.3187460826210826,4.011111111111111
DAL,DTT,0,263.95,992.0,0.26607862903225804,0.0
DAL,DTW,6340,209.6427358490566,986.566037735849,0.2124900209007538,11.620283018867923
DAL,ECP,2811,192.78411764705882,685.0,0.2814366680978961,0.0
DAL,EFD,61,88.85269230769231,252.0,0.35259004884004885,0.0
DAL,EGE,1,152.9825,731.0,0.20927838577291383,0.0
DAL,ELP,60800,150.71254237288136,562.0,0.2681717835816394,0.0
DAL,EWR,3203,263.3529126213592,1428.0,0.1844208071578146,17.661941747572815
DAL,EYW,0,380.98,1089.0,0.34984389348025713,0.0
DAL,FAT,106,202.71,1325.0,0.15298867924528303,20.023750000000003
DAL,FCA,2,123.4,1399.0,0.08820586132952109,0.0
DAL,FLL,14900,193.42801886792452,1121.0,0.17254952619797012,18.64669811320755
DAL,GEG,234,213.30124999999998,1486.0,0.14354054508748318,17.001249999999995
DAL,GPT,2,134.93,500.0,0.26986,0.0
DAL,GRR,890,215.24,931.0,0.23119226638023632,0.8309803921568633
DAL,GSO,96,207.24200000000002,999.0,0.20744944944944946,24.402
DAL,GSP,1398,210.5864,862.0,0.24429976798143851,5.0022
DAL,HDN,23,176.88,779.0,0.22706033376123233,0.0
DAL,HOU,245841,130.2121186440678,248.6271186440678,0.5251651988301405,0.0
DAL,HPN,95,263.765,1428.0,0.1847093837535014,14.086029411764706
DAL,HRL,26065,135.93831578947368,461.0,0.2948770407580774,1.3706315789473684
DAL,HSV,3,235.49,603.0,0.390530679933665,0.0
DAL,IAD,1390,231.4978217821782,1217.0,0.19022006719981777,22.26455445544555
DAL,IAH,33808,113.61106382978724,249.04255319148936,0.45743173608047194,0.7837234042553188
DAL,ICT,741,225.01384615384615,333.0,0.6757172557172557,1.5607692307692314
DAL,IND,8219,196.50779816513761,761.5321100917431,0.25804365117749833,9.789266055045873
DAL,ISP,1005,248.82564356435643,1427.920792079208,0.17425439943094795,11.595049504950493
DAL,JAC,0,140.0,1056.0,0.13257575757575757,0.0
DAL,JAN,1416,152.08270833333333,408.0,0.37275173611111106,10.052916666666668
DAL,JAX,4072,200.5787619047619,918.5142857142857,0.21837885535062773,12.018095238095237
DAL,JFK,184,229.0388888888889,1428.0,0.16039137877373172,4.489222222222223
DAL,LAS,42719,198.62,1067.0,0.18614807872539832,19.368256880733945
DAL,LAX,47739,192.50849557522122,1246.0,0.15450120030114062,20.689911504424778
DAL,LBB,53030,118.44559322033898,293.0,0.40425117140047434,0.0
DAL,LGA,32022,202.36796116504857,1427.9223300970873,0.14171956122801918,18.801165048543687
DAL,LGB,2525,190.2889189189189,1246.0,0.15271983861871502,0.0
DAL,LIT,38786,113.93262711864406,304.0,0.3747783786797502,0.0
DAL,MAF,44358,130.21838983050847,319.0,0.4082081185909357,0.0
DAL,MCI,44973,146.4738392857143,460.74107142857144,0.31793529459317443,2.900892857142857
DAL,MCO,32535,182.05916666666667,984.4722222222222,0.18492954187473348,20.749814814814815
DAL,MEM,5209,219.60330000000002,431.64,0.5086420087866288,10.0259
DAL,MFE,208,169.74816326530612,468.265306122449,0.3624719063723023,1.8265306122448979
DAL,MIA,3097,192.27298076923077,1121.0,0.17151916214918,10.162499999999998
DAL,MKE,6214,189.75770833333334,853.0,0.22245921258304024,10.5709375
DAL,MSP,4682,205.2707920792079,853.0,0.24064571169895418,6.861683168316832
DAL,MSY,84347,129.5657627118644,447.7542372881356,0.28944067363350634,0.12966101694915252
